onset	duration	trial_type	correct_response	accuracy	response_time	stimulus	position
4.015	1.805	no_response	n/a	1.0	n/a	c	TR
5.82	2.006	1-back	0.0	1.0	0.546	g	BL
7.826	2.006	1-back	0.0	1.0	0.825	p	TR
9.832	2.006	1-back	1.0	1.0	0.744	p	BL
11.838	2.006	1-back	0.0	1.0	0.504	t	TL
13.844	2.006	1-back	0.0	1.0	0.582	v	BR
15.85	2.006	1-back	1.0	1.0	0.427	v	TL
17.856	2.007	1-back	0.0	1.0	0.496	s	BL
19.863	2.006	1-back	1.0	1.0	0.541	s	TR
21.869	2.006	1-back	0.0	1.0	0.493	x	BR
23.875	2.006	1-back	0.0	1.0	0.465	n	TL
25.881	2.006	1-back	1.0	1.0	0.441	n	BR
27.887	2.006	1-back	0.0	1.0	0.485	f	TR
29.893	2.006	1-back	1.0	1.0	0.489	f	TL
31.899	2.006	1-back	0.0	1.0	0.549	l	TR
33.905	2.006	1-back	0.0	1.0	0.452	r	BL
35.911	2.006	1-back	0.0	1.0	0.47	z	TR
37.917	2.006	1-back	1.0	1.0	0.478	z	TL
39.923	2.006	1-back	0.0	1.0	0.447	c	TR
41.929	2.006	1-back	1.0	1.0	0.54	c	BL
43.935	2.006	1-back	0.0	1.0	0.472	g	TR
45.941	2.006	1-back	1.0	1.0	0.643	g	BR
47.947	2.006	1-back	0.0	1.0	0.415	x	BL
49.953	2.006	1-back	0.0	1.0	0.468	t	TL
51.959	2.006	1-back	1.0	1.0	0.708	t	BL
53.965	2.006	1-back	0.0	1.0	0.439	r	BR
55.971	2.006	1-back	0.0	1.0	0.626	p	BL
57.977	2.006	1-back	0.0	1.0	0.495	v	TL
59.983	2.006	1-back	0.0	1.0	0.484	s	TR
61.989	2.006	1-back	1.0	1.0	0.465	s	BR
63.995	2.006	1-back	0.0	1.0	0.461	x	BL
66.001	2.006	1-back	1.0	1.0	0.585	x	TL
68.007	2.006	1-back	0.0	1.0	0.541	l	TR
70.013	2.006	1-back	1.0	1.0	0.584	l	BL
72.019	2.006	1-back	0.0	1.0	0.539	n	BR
74.025	2.006	1-back	1.0	1.0	0.592	n	TL
76.031	2.006	1-back	0.0	1.0	0.469	z	BR
78.037	2.006	1-back	1.0	1.0	0.481	z	TL
80.043	2.006	1-back	0.0	1.0	0.436	c	BR
82.049	2.006	1-back	0.0	1.0	0.567	g	BL
84.055	2.006	1-back	0.0	1.0	0.577	p	TL
86.061	2.006	1-back	0.0	1.0	0.57	t	TR
88.067	2.006	1-back	0.0	1.0	0.489	v	BR
90.073	2.006	1-back	0.0	1.0	0.527	f	TL
92.079	2.006	1-back	1.0	1.0	0.681	f	TR
94.085	2.006	1-back	0.0	1.0	0.435	l	BR
96.091	2.006	1-back	0.0	1.0	0.436	r	BL
98.097	6.021	1-back	1.0	1.0	0.464	r	BR
104.118	2.023	baseline	1.0	1.0	0.398	redcross.bmp	n/a
106.141	2.022	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
108.163	2.023	baseline	1.0	1.0	0.291	redcross.bmp	n/a
110.186	2.039	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
112.225	2.023	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
114.248	2.023	baseline	1.0	1.0	0.338	redcross.bmp	n/a
116.271	2.022	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
118.293	2.024	baseline	1.0	1.0	0.34	redcross.bmp	n/a
120.317	2.022	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
122.339	2.023	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
124.362	2.039	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
