onset	duration	trial_type	correct_response	accuracy	response_time	stimulus	position
4.015	1.806	no_response	n/a	1.0	n/a	c	TR
5.821	2.006	1-back	0.0	1.0	0.673	g	BL
7.827	2.006	1-back	0.0	1.0	0.598	p	TR
9.833	2.006	1-back	1.0	1.0	0.593	p	BL
11.839	2.006	1-back	0.0	1.0	0.472	t	TL
13.845	2.006	1-back	0.0	1.0	0.62	v	BR
15.851	2.006	1-back	1.0	1.0	0.625	v	TL
17.857	2.006	1-back	0.0	1.0	0.473	s	BL
19.863	2.006	1-back	1.0	1.0	0.413	s	TR
21.869	2.006	1-back	0.0	1.0	0.757	x	BR
23.875	2.006	1-back	0.0	1.0	0.7	n	TL
25.881	2.006	1-back	1.0	1.0	0.533	n	BR
27.887	2.006	1-back	0.0	1.0	0.505	f	TR
29.893	2.006	1-back	1.0	1.0	0.597	f	TL
31.899	2.006	1-back	0.0	1.0	0.379	l	TR
33.905	2.006	1-back	0.0	1.0	0.461	r	BL
35.911	2.006	1-back	0.0	1.0	0.558	z	TR
37.917	2.006	1-back	1.0	1.0	0.596	z	TL
39.923	2.006	1-back	0.0	1.0	0.455	c	TR
41.929	2.006	1-back	1.0	1.0	0.661	c	BL
43.935	2.006	1-back	0.0	1.0	0.352	g	TR
45.941	2.006	1-back	1.0	1.0	0.529	g	BR
47.947	2.006	1-back	0.0	1.0	0.611	x	BL
49.953	2.006	1-back	0.0	1.0	0.546	t	TL
51.959	2.006	1-back	1.0	1.0	0.619	t	BL
53.965	2.006	1-back	0.0	1.0	0.542	r	BR
55.971	2.006	1-back	0.0	1.0	0.479	p	BL
57.977	2.006	1-back	0.0	0.0	0.496	v	TL
59.983	2.006	1-back	0.0	1.0	0.44	s	TR
61.989	2.006	1-back	1.0	1.0	0.505	s	BR
63.995	2.006	1-back	0.0	1.0	0.519	x	BL
66.001	2.006	1-back	1.0	1.0	0.448	x	TL
68.007	2.006	1-back	0.0	1.0	0.488	l	TR
70.013	2.006	1-back	1.0	1.0	0.65	l	BL
72.019	2.007	1-back	0.0	1.0	0.403	n	BR
74.026	2.006	1-back	1.0	1.0	0.43	n	TL
76.032	2.006	1-back	0.0	1.0	0.458	z	BR
78.038	2.006	1-back	1.0	1.0	0.847	z	TL
80.044	2.006	1-back	0.0	1.0	0.621	c	BR
82.05	2.006	1-back	0.0	1.0	0.61	g	BL
84.056	2.006	1-back	0.0	1.0	0.51	p	TL
86.062	2.006	1-back	0.0	1.0	0.426	t	TR
88.068	2.006	1-back	0.0	1.0	0.701	v	BR
90.074	2.006	1-back	0.0	1.0	0.433	f	TL
92.08	2.006	1-back	1.0	1.0	0.469	f	TR
94.086	2.006	1-back	0.0	1.0	0.382	l	BR
96.092	2.006	1-back	0.0	1.0	0.463	r	BL
98.098	6.036	1-back	1.0	1.0	0.585	r	BR
104.134	2.024	baseline	1.0	1.0	0.392	redcross.bmp	n/a
106.158	2.022	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
108.18	2.039	baseline	1.0	1.0	0.323	redcross.bmp	n/a
110.219	2.023	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
112.242	2.023	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
114.265	2.039	baseline	1.0	1.0	0.423	redcross.bmp	n/a
116.304	2.023	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
118.327	2.023	baseline	1.0	1.0	0.328	redcross.bmp	n/a
120.35	2.039	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
122.389	2.023	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
124.412	2.023	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
126.435	6.033	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
132.468	1.805	no_response	n/a	1.0	n/a	r	TR
134.273	1.806	no_response	n/a	1.0	n/a	p	BL
136.079	2.006	2-back	0.0	1.0	0.67	s	BL
138.085	2.006	2-back	1.0	1.0	0.412	p	TR
140.091	2.006	2-back	0.0	1.0	0.49	c	TL
142.097	2.006	2-back	0.0	1.0	0.599	g	TL
144.103	2.006	2-back	1.0	1.0	0.476	c	BL
146.109	2.006	2-back	0.0	1.0	0.478	f	TR
148.115	2.006	2-back	0.0	1.0	0.803	x	TR
150.121	2.006	2-back	0.0	1.0	0.483	z	TL
152.127	2.006	2-back	1.0	1.0	0.44	x	BR
154.133	2.006	2-back	0.0	1.0	0.456	g	BL
156.139	2.006	2-back	0.0	1.0	0.629	v	TL
158.145	2.006	2-back	1.0	1.0	0.512	g	TL
